edge_uid,reported_months,mean_trips,std_trips,log_variance,max_trips
512403334,63,1431.5079365079366,4752.074049307027,2.8674943415237664,25115.0
510836366,63,722.1428571428571,2463.738097839652,2.8670909042654795,10595.0
512408080,63,1250.7142857142858,4016.359374698449,2.864863627788286,19865.0
512408112,63,538.2539682539683,1326.4399232319859,2.862974400842287,6845.0
512397544,63,734.7619047619048,1720.8625998485768,2.860991115171298,9670.0
512403232,63,1287.6984126984128,4426.530519474156,2.8597105412621393,23980.0
510998532,63,11351.190476190477,12007.374639667374,2.857499444402142,73140.0
511044668,63,6188.571428571428,8049.6033977924135,2.853356789875274,56660.0
512394012,63,3837.8571428571427,2940.6605460346163,2.8529403163371923,17700.0
512397584,63,755.5555555555555,1769.986128775406,2.8480220824266,9900.0
510722756,63,2101.031746031746,1908.4075777587193,2.8472007857788,6035.0
512397547,63,748.4920634920635,1749.8347007002417,2.830685228480008,9795.0
511042039,63,1270.4761904761904,4452.2490433239245,2.8296236964908292,31625.0
512414460,63,1065.3968253968253,2737.568278952188,2.8290825626147598,14990.0
512397678,63,760.5555555555555,1770.9094417547324,2.8261946515792893,9910.0
512414453,63,1064.920634920635,2733.424310519961,2.8261834773071097,14955.0
512408092,63,1222.936507936508,3977.561929012488,2.8239481791627603,19860.0
512397528,63,729.2857142857143,1707.6202213245476,2.8230157284590662,9605.0
511044673,63,6275.396825396825,8012.2513197576045,2.815185508091452,56340.0
512397517,63,1240.873015873016,4250.134204682071,2.801315114354838,23035.0
511179440,63,601.984126984127,1572.6666124571768,2.7990160364929753,6960.0
512404331,63,808.3333333333334,1859.5184513652296,2.7816654798912537,10185.0
512397526,63,732.4603174603175,1708.5335801112135,2.778403442858853,9595.0
510836364,63,696.5079365079365,2373.029341151991,2.7741363737312152,10295.0
512397582,63,750.2380952380952,1752.5466328919267,2.772684758949056,9810.0
512397876,63,769.047619047619,1780.3619279433171,2.772430772931358,9930.0
512403399,63,1518.015873015873,4940.8212014709925,2.7718483801715563,25715.0
510722807,63,2033.3333333333333,2042.289393729972,2.7624598556825,7720.0
512403403,63,1519.2063492063492,4942.744210223807,2.7596403767699957,25735.0
512397871,63,771.5079365079365,1780.4617548321182,2.759590301319164,9930.0
512403224,63,1290.0,4430.806014201464,2.7591573735667225,24010.0
510723823,63,1089.3650793650793,4439.518145538694,2.758487327368362,32835.0
512404318,63,818.3333333333334,1874.7309484382704,2.7556641102835955,10265.0
511040438,63,620.0,2034.8610953623722,2.7530835074879834,14625.0
